timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700552078122,4647,/-403,200,OK,Thread Group 1-2,text,true,,11206,1220,20,20,https://www.tab66aud.com/,4647,0,0
1700552075050,7732,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-15,,true,,24206,3900,20,20,null,0,2,0
1700552075050,3114,/logout-400,200,OK,Thread Group 1-15,text,true,,13055,2680,20,20,https://www.tab66aud.com,366,0,0
1700552075050,366,/logout-400-0,302,Found,Thread Group 1-15,text,true,,1909,1377,20,20,https://www.tab66aud.com/logout,366,0,0
1700552075416,2748,/logout-400-1,200,OK,Thread Group 1-15,text,true,,11146,1303,20,20,https://www.tab66aud.com,2748,0,0
1700552078166,4618,/-403,200,OK,Thread Group 1-15,text,true,,11151,1220,20,20,https://www.tab66aud.com/,4618,0,0
1700552075175,7733,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-13,,true,,24204,3900,20,20,null,0,2,0
1700552075175,3099,/logout-400,200,OK,Thread Group 1-13,text,true,,13050,2680,20,20,https://www.tab66aud.com,390,0,0
1700552075175,390,/logout-400-0,302,Found,Thread Group 1-13,text,true,,1903,1377,20,20,https://www.tab66aud.com/logout,390,0,0
1700552075565,2709,/logout-400-1,200,OK,Thread Group 1-13,text,true,,11147,1303,20,20,https://www.tab66aud.com,2709,0,0
1700552078276,4634,/-403,200,OK,Thread Group 1-13,text,true,,11154,1220,20,20,https://www.tab66aud.com/,4634,0,0
1700552080629,2370,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,8168,1217,20,20,null,0,1,0
1700552080629,2370,/login-113,200,OK,Thread Group 1-10,text,true,,8168,1217,20,20,https://www.tab66aud.com/login,2370,0,0
1700552075462,7778,Select a Game,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-5,,true,,16389,5272,20,20,null,0,2,0
1700552075462,509,/games/play-204,200,OK,Thread Group 1-5,text,true,,2045,1348,20,20,https://www.tab66aud.com/games/play,509,0,0
1700552075971,2419,/games/play-223,200,OK,Thread Group 1-5,text,true,,2060,1348,20,20,https://www.tab66aud.com/games/play,2419,0,0
1700552078391,2388,/games/10-227,200,OK,Thread Group 1-5,text,true,,10237,1228,20,20,https://www.tab66aud.com/games/10,2388,0,0
1700552080780,2462,/games/play-262,200,OK,Thread Group 1-5,text,true,,2047,1348,20,20,https://www.tab66aud.com/games/play,2462,0,0
1700552080241,4653,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,11151,1169,20,20,null,0,1,0
1700552080241,4653,/-37,200,OK,Thread Group 1-12,text,true,,11151,1169,20,20,https://www.tab66aud.com/,4653,0,0
1700552075577,9640,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-6,,true,,23710,5028,20,20,null,0,3,0
1700552075577,2462,/login-141,200,OK,Thread Group 1-6,text,true,,1587,1371,20,20,https://www.tab66aud.com/login,2462,0,0
1700552078041,4782,/login-144,200,OK,Thread Group 1-6,text,true,,12033,2437,20,20,https://www.tab66aud.com/deposits,2375,0,0
1700552078041,2375,/login-144-0,302,Found,Thread Group 1-6,text,true,,1942,1217,20,20,https://www.tab66aud.com/login,2375,0,0
1700552080416,2407,/login-144-1,200,OK,Thread Group 1-6,text,true,,10091,1220,20,20,https://www.tab66aud.com/deposits,2406,0,0
1700552082823,2396,/deposits-145,200,OK,Thread Group 1-6,text,true,,10090,1220,20,20,https://www.tab66aud.com/deposits,2396,0,0
1700552075653,9626,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-7,,true,,23735,5028,20,20,null,0,1,0
1700552075653,2443,/login-141,200,OK,Thread Group 1-7,text,true,,1602,1371,20,20,https://www.tab66aud.com/login,2443,0,0
1700552078097,4729,/login-144,200,OK,Thread Group 1-7,text,true,,12043,2437,20,20,https://www.tab66aud.com/deposits,2350,0,0
1700552078097,2350,/login-144-0,302,Found,Thread Group 1-7,text,true,,1948,1217,20,20,https://www.tab66aud.com/login,2350,0,0
1700552080448,2378,/login-144-1,200,OK,Thread Group 1-7,text,true,,10095,1220,20,20,https://www.tab66aud.com/deposits,2378,0,0
1700552082826,2454,/deposits-145,200,OK,Thread Group 1-7,text,true,,10090,1220,20,20,https://www.tab66aud.com/deposits,2454,0,0
1700552076096,9792,Select a Game,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-20,,true,,16354,5272,20,20,null,0,0,19
1700552076096,2444,/games/play-204,200,OK,Thread Group 1-20,text,true,,2061,1348,20,20,https://www.tab66aud.com/games/play,2444,0,0
1700552078541,2500,/games/play-223,200,OK,Thread Group 1-20,text,true,,2050,1348,20,20,https://www.tab66aud.com/games/play,2500,0,19
1700552081041,2388,/games/10-227,200,OK,Thread Group 1-20,text,true,,10200,1228,20,20,https://www.tab66aud.com/games/10,2388,0,0
1700552083428,2460,/games/play-262,200,OK,Thread Group 1-20,text,true,,2043,1348,20,20,https://www.tab66aud.com/games/play,2460,0,0
